song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Outside (feat. Ellie Goulding),Calvin Harris,78,2014,0.646,0.823,-4.123,128.035,2
Chandelier,Sia,78,2014,0.399,0.787,-2.88,117.089,1
In My Mind,Dynoro,78,2018,0.694,0.77,-5.335,125.905,6
We Can't Stop,Miley Cyrus,78,2013,0.613,0.622,-5.794,80.003,1
a lot,21 Savage,78,2018,0.837,0.636,-7.643,145.972,1
Pop Out (feat. Lil Tjay),Polo G,78,2019,0.772,0.639,-7.119,168.112,1
Treasure,Bruno Mars,78,2012,0.874,0.692,-5.28,116.017,5
Mirrors,Justin Timberlake,78,2013,0.574,0.512,-6.664,76.899,5
Faded,Alan Walker,78,2018,0.468,0.627,-5.085,179.642,6
The Middle,Jimmy Eat World,78,2001,0.643,0.849,-5.428,162.152,2
Don't,Bryson Tiller,78,2015,0.765,0.356,-5.556,96.991,11
Fireflies,Owl City,78,2009,0.512,0.662,-6.797,180.114,3
Going Bad (feat. Drake),Meek Mill,78,2018,0.889,0.496,-6.365,86.003,4
24K Magic,Bruno Mars,78,2016,0.818,0.803,-4.282,106.97,1
Scream & Shout,will.i.am,78,2013,0.772,0.685,-6.849,130.033,5
I Feel It Coming,The Weeknd,78,2016,0.773,0.819,-5.946,92.987,0
Kryptonite,3 Doors Down,78,2000,0.545,0.865,-5.708,99.009,11
Ransom,Lil Tecca,78,2019,0.745,0.642,-6.257,179.974,7
Señorita,Shawn Mendes,78,2019,0.759,0.548,-6.049,116.967,9
Hall of Fame (feat. will.i.am),The Script,78,2012,0.421,0.873,-4.343,84.786,10
SexyBack (feat. Timbaland),Justin Timberlake,78,2006,0.967,0.583,-5.562,117.0,7
Temperature,Sean Paul,78,2005,0.951,0.6,-4.675,125.04,0
IDGAF,Dua Lipa,78,2017,0.836,0.544,-5.975,97.028,7
Shower,Becky G,78,2014,0.699,0.529,-7.548,119.987,2
Dance Monkey,Tones And I,78,2019,0.824,0.588,-6.4,98.027,6
3 Nights,Dominic Fike,78,2018,0.815,0.518,-6.594,151.891,7
How You Remind Me,Nickelback,78,2001,0.446,0.764,-5.042,172.094,10
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,78,2015,0.262,0.606,-6.646,189.857,8
Cruel Summer,Taylor Swift,78,2019,0.552,0.702,-5.707,169.994,9
Grenade,Bruno Mars,78,2010,0.704,0.558,-7.273,110.444,2
Gold Digger,Kanye West,78,2005,0.629,0.696,-5.572,93.034,1
Wolves,Selena Gomez,78,2017,0.724,0.804,-4.614,124.987,11
Wildest Dreams,Taylor Swift,78,2014,0.553,0.664,-7.417,140.06,8
Complicated,Avril Lavigne,78,2002,0.585,0.776,-5.898,77.987,5
"You're Gonna Go Far, Kid",The Offspring,78,2008,0.55,0.917,-3.159,126.115,0
Sure Thing,Miguel,78,2010,0.684,0.607,-8.127,81.001,11
Beautiful Girls,Sean Kingston,78,2007,0.762,0.661,-6.075,130.009,1
God is a woman,Ariana Grande,78,2018,0.602,0.658,-5.934,145.031,1
Call Me Maybe,Carly Rae Jepsen,78,2012,0.783,0.58,-6.548,120.021,7
Stitches,Shawn Mendes,78,2015,0.746,0.754,-6.684,149.882,1
The Pretender,Foo Fighters,78,2007,0.433,0.959,-4.04,172.984,9
Primadonna,MARINA,78,2012,0.66,0.689,-2.671,127.98,4
Hey There Delilah,Plain White T's,78,2005,0.656,0.291,-10.572,103.971,2
American Boy,Estelle,78,2008,0.727,0.729,-2.99,117.932,0
Nonstop,Drake,77,2018,0.912,0.412,-8.074,154.983,7
Whistle,Flo Rida,77,2012,0.747,0.937,-5.746,103.976,0
Levels - Radio Edit,Avicii,77,2011,0.584,0.889,-5.941,126.04,1
Glad You Came,The Wanted,77,2011,0.722,0.851,-3.873,126.885,7
Mo Bamba,Sheck Wes,77,2018,0.729,0.625,-5.266,146.034,4
Without You (feat. Sandro Cavazza),Avicii,77,2017,0.662,0.858,-4.844,133.993,2
Scared to Be Lonely,Martin Garrix,77,2017,0.584,0.54,-7.786,137.972,1
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,77,2011,0.715,0.655,-6.425,95.078,0
no tears left to cry,Ariana Grande,77,2018,0.699,0.713,-5.507,121.993,9
Magnolia,Playboi Carti,77,2017,0.791,0.582,-7.323,162.991,11
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,77,2016,0.664,0.714,-6.645,101.969,7
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,77,2017,0.259,0.437,-6.589,180.042,11
Dilemma,Nelly,77,2002,0.727,0.552,-8.074,168.189,2
What Do You Mean?,Justin Bieber,77,2015,0.845,0.567,-8.118,125.02,5
American Idiot,Green Day,77,2004,0.38,0.988,-2.042,186.113,1
Pon de Replay,Rihanna,77,2005,0.779,0.64,-8.415,99.019,7
Take Me Out,Franz Ferdinand,77,2004,0.277,0.663,-8.821,104.561,4
No One,Alicia Keys,77,2007,0.644,0.549,-5.415,90.04,1
Bang Bang,Jessie J,77,2014,0.706,0.786,-3.417,150.028,0
oui,Jeremih,77,2015,0.418,0.724,-3.724,78.521,5
Hotline Bling,Drake,77,2016,0.891,0.628,-7.863,134.966,2
Me And My Broken Heart,Rixton,77,2014,0.545,0.783,-4.261,174.084,5
Locked Away (feat. Adam Levine),R. City,77,2015,0.509,0.671,-5.709,118.413,1
Style,Taylor Swift,77,2014,0.588,0.791,-5.595,94.933,7
Hate It Or Love It,The Game,77,2005,0.802,0.785,-4.781,99.998,9
Perfect,One Direction,77,2015,0.647,0.823,-5.231,99.933,2
Wild Ones (feat. Sia),Flo Rida,77,2012,0.608,0.86,-5.324,127.075,5
Mockingbird,Eminem,77,2004,0.637,0.678,-3.798,84.039,0
